frame,similarity
50,1.0
100,1.0
150,0.022388059701492536
200,0.9582417582417583
250,0.9977324263038548
300,0.9931972789115646
350,0.9626373626373627
400,0.9406593406593406
450,1.0
500,0.9864253393665159
550,0.9538461538461539
600,0.9626373626373627
650,0.9909502262443439
700,0.9866071428571429
750,0.9821428571428571
800,1.0
850,0.9864253393665159
900,0.9563318777292577
950,0.936542669584245
1000,0.9841269841269841
1050,0.9819004524886877
1100,0.9864253393665159
1150,0.9864253393665159
1200,0.9909502262443439
1250,1.0
1300,0.995475113122172
1350,0.995475113122172
1400,0.9864253393665159
1450,1.0
1500,0.9406593406593406
1550,0.9582417582417583
1600,0.9626373626373627
1650,0.9538461538461539
1700,0.995475113122172
1750,0.995475113122172
1800,1.0
1850,0.948051948051948
1900,0.948051948051948
1950,0.9795918367346939
2000,0.9750566893424036
2050,1.0
2100,0.9776785714285714
2150,0.07331975560081466
2200,0.9924242424242424
2250,0.9943074003795066
2300,0.9961977186311787
2350,0.9625246548323472
2400,0.9606299212598425
2450,0.9905123339658444
2500,1.0
2550,1.0
2600,0.9923954372623575
2650,0.9563567362428842
2700,1.0
2750,0.9716446124763705
2800,0.9307282415630551
2850,0.9055258467023173
2900,0.9625246548323472
2950,1.0
3000,1.0
3050,1.0
3100,0.9568627450980393
3150,0.9887218045112782
3200,0.9754253308128544
3250,1.0
3300,0.2518518518518518
3350,0.9136276391554703
3400,0.9606299212598425
3450,0.9606299212598425
3500,0.9644268774703557
3550,0.9644268774703557
3600,0.9606299212598425
3650,0.9981024667931688
3700,0.18336886993603413
3750,0.9951690821256038
3800,1.0
3850,1.0
3900,1.0
3950,0.9951690821256038
4000,1.0
4050,0.9806763285024155
4100,0.9903846153846154
4150,1.0
4200,0.9903846153846154
4250,1.0
4300,0.9951690821256038
4350,1.0
4400,0.9951690821256038
4450,1.0
4500,0.9855072463768116
4550,0.9758454106280193
4600,0.9903846153846154
4650,0.9734939759036144
4700,0.9878934624697336
4750,0.9854368932038835
4800,1.0
4850,0.9902912621359223
4900,0.9095022624434389
4950,0.9525862068965517
5000,0.9718004338394793
5050,0.8648648648648649
5100,0.9324009324009324
5150,1.0
5200,0.9057471264367816
5250,0.9320843091334895
5300,0.9184149184149184
5350,1.0
5400,0.91415313225058
5450,0.9361702127659575
5500,0.9292452830188679
5550,0.9223529411764706
5600,0.9364705882352942
5650,0.9364705882352942
5700,0.9320843091334895
5750,0.9277389277389277
5800,1.0
5850,0.9184149184149184
5900,0.9976689976689976
5950,0.9086651053864169
6000,0.9836065573770492
6050,0.927400468384075
6100,0.9219858156028369
6150,1.0
6200,0.919431279620853
6250,0.9417249417249417
6300,0.9191685912240185
6350,0.9976798143851509
6400,0.9095127610208816
6450,0.9090909090909091
6500,0.9158878504672897
6550,0.9386792452830188
6600,1.0
6650,0.9314420803782506
6700,0.9241379310344827
6750,0.908256880733945
6800,0.9439252336448598
6850,0.9162790697674419
6900,1.0
6950,0.8646288209606987
7000,0.9813664596273292
7050,0.9650924024640657
7100,0.9570552147239264
7150,0.9979550102249489
7200,0.44541484716157204
7250,0.9962714392244594
7300,0.9895366218236173
7350,1.0
7400,0.994748687171793
7450,0.9962490622655664
7500,0.9895052473763118
7550,0.9932381667918858
7600,0.9954819277108434
7650,0.9954887218045113
7700,0.9969924812030075
7750,0.9939759036144579
7800,1.0
7850,0.990990990990991
7900,1.0
7950,0.9203276247207743
8000,1.0
8050,0.9368029739776952
8100,0.9940119760479041
8150,1.0
8200,0.9940119760479041
8250,0.9970104633781763
8300,0.990990990990991
8350,1.0
8400,0.9902182091798345
8450,1.0
8500,0.9917602996254682
8550,0.9985074626865672
8600,0.9887808526551982
8650,0.9910044977511244
8700,0.9985052316890882
8750,0.9843166542195668
8800,1.0
8850,0.9880239520958084
8900,1.0
8950,0.9894736842105263
9000,0.977645305514158
9050,0.9831748354059985
9100,0.9715120525931337
9150,0.13833528722157093
9200,0.8058252427184466
9250,0.918580375782881
9300,0.7874720357941835
9350,0.7798165137614679
9400,0.6861924686192469
9450,0.8066037735849056
9500,0.9855072463768116
9550,0.8186274509803921
9600,0.803921568627451
9650,0.9707602339181286
9700,0.9912536443148688
9750,0.825974025974026
9800,0.9976580796252927
9850,0.7818181818181819
9900,0.8190045248868778
9950,0.6821052631578948
10000,0.8165680473372781
10050,0.7300215982721382
10100,0.6036036036036037
10150,0.6496815286624203
10200,0.5682819383259912
10250,0.7619047619047619
10300,0.7699757869249395
10350,0.9002849002849003
10400,0.9415041782729805
10450,0.3486238532110092
10500,0.8936170212765957
10550,1.0
10600,0.967741935483871
10650,0.989247311827957
10700,1.0
10750,0.8809523809523809
10800,1.0
10850,1.0
10900,0.8809523809523809
10950,0.8514851485148515
11000,0.8260869565217391
11050,1.0
11100,1.0
11150,0.8941176470588236
11200,0.967741935483871
11250,0.891566265060241
11300,0.96
11350,0.06688963210702341
11400,1.0
50,1.0
100,1.0
150,0.9518072289156626
200,0.9518072289156626
250,1.0
300,0.34108527131782945
350,1.0
400,0.96
450,1.0
500,0.7375886524822695
550,0.9888888888888889
600,0.8811881188118812
650,1.0
700,1.0
750,0.9367088607594937
800,1.0
850,0.9205020920502092
900,0.9205020920502092
950,1.0
1000,0.8108108108108109
1050,1.0
1100,1.0
1150,1.0
1200,0.9602888086642599
1250,1.0
1300,0.9861111111111112
1350,1.0
1400,1.0
1450,1.0
1500,1.0
1550,0.8847352024922118
1600,1.0
1650,0.9943502824858758
1700,1.0
1750,0.9943502824858758
1800,0.9806094182825484
1850,1.0
1900,1.0
1950,1.0
2000,0.31666666666666665
2050,1.0
50,1.0
100,1.0
150,0.9518072289156626
200,0.9518072289156626
250,1.0
300,0.34108527131782945
350,1.0
400,0.96
450,1.0
500,0.7375886524822695
550,0.9888888888888889
600,0.8811881188118812
650,1.0
